Langage,Nom,Type,Description,Étoiles,Connu,Maîtrise,Priorité_apprentissage,Objectif_personnel
Rust,nexus-cli,Autre,Command line interface for supplying proofs to the Nexus network.,4,,,,
Rust,zola,Web,A fast static site generator in a single binary with everything built-in. https://www.getzola.org,10,,,,
Rust,rspack,Web,The fast Rust-based web bundler with webpack-compatible API 🦀️,7,,,,
Rust,opendal,Autre,"Apache OpenDAL: One Layer, All Storage.",8,,,,
Rust,linera-protocol,ML,Main repository for the Linera protocol,35,,,,
Rust,forge,NLP,"AI enabled pair programmer for Claude, GPT, O Series, Grok, Deepseek, Gemini and 300+ models",25,,,,
Rust,tree-sitter,Autre,An incremental parsing system for programming tools,19,,,,
Rust,dynamo,Web,A Datacenter Scale Distributed Inference Serving Framework,10,,,,
Rust,zed,Autre,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",54,,,,
Rust,rio,Web,A hardware-accelerated GPU terminal emulator focusing to run in desktops and browsers.,48,,,,
Rust,paradedb,Autre,"ParadeDB is a modern Elasticsearch alternative built on Postgres. Built for real-time, update-heavy workloads.",60,,,,
Rust,rnote,Autre,Sketch and take handwritten notes.,27,,,,
Rust,clewdr,API,High Performance LLM Reverse Proxy,8,,,,
Rust,niri,Autre,A scrollable-tiling Wayland compositor.,27,,,,
Rust,ruff,Autre,"An extremely fast Python linter and code formatter, written in Rust.",28,,,,
Rust,arrow-rs,Autre,Official Rust implementation of Apache Arrow,5,,,,
Rust,bevy,Data,A refreshingly simple data-driven game engine built in Rust,14,,,,
Rust,gitbutler,API,"The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",8,,,,
Go,argo-workflows,Autre,Workflow Engine for Kubernetes,5,,,,
Go,badger,Autre,Fast key-value DB in Go.,6,,,,
Go,ctop,ML,Top-like interface for container metrics,54,,,,
Go,golangci-lint,Autre,Fast linters runner for Go,5,,,,
Go,podman,ML,Podman: A tool for managing OCI containers and pods.,44,,,,
Go,aws-sdk-go-v2,Autre,AWS SDK for the Go programming language.,4,,,,
Go,langchaingo,NLP,"LangChain for Go, the easiest way to write LLM-based programs in Go",13,,,,
Go,gitleaks,Autre,Find secrets with Gitleaks 🔑,15,,,,
Go,oapi-codegen,API,Generate Go client and server boilerplate from OpenAPI 3 specifications,17,,,,
Go,zep,Autre,"Zep | Examples, Integrations, & More",7,,,,
Go,grpc-go,Autre,The Go language implementation of gRPC. HTTP/2 based RPC,7,,,,
Go,milvus,Data,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",23,,,,
Go,harvester,Autre,Open source hyperconverged infrastructure (HCI) software,3,,,,
Go,etcd,Data,Distributed reliable key-value store for the most critical data of a distributed system,7,,,,
Go,HAMi,ML,Heterogeneous AI Computing Virtualization Middleware(Project under CNCF),4,,,,
Go,testcontainers-go,API,"Testcontainers for Go is a Go package that makes it simple to create and clean up container-based dependencies for automated integration/smoke tests. The clean, easy-to-use API enables developers to programmatically define containers that should be run as part of a test and clean up those resources when the test is done.",1,,,,
Go,gorm,ML,"The fantastic ORM library for Golang, aims to be developer friendly",9,,,,
Go,tidb,Data,"TiDB - the open-source, cloud-native, distributed SQL database designed for modern applications.",6,,,,
Go,autoscaler,Autre,Autoscaling components for Kubernetes,3,,,,
TypeScript,MusicFree,Autre,插件化、定制化、无广告的免费音乐播放器,159,,,,
TypeScript,DocsGPT,NLP,"DocsGPT is an open-source genAI tool that helps users get reliable answers from knowledge source, while avoiding hallucinations. It enables private and reliable information retrieval, with tooling and agentic system capability built in.",21,,,,
TypeScript,claude-code-router,ML,"Use Claude Code as the foundation for coding infrastructure, allowing you to decide how to interact with the model while enjoying updates from Anthropic.",502,,,,
TypeScript,OP_20,NLP,OP_20 example token,9,,,,
TypeScript,budibase,API,"Create business apps and automate workflows in minutes. Supports PostgreSQL, MySQL, MariaDB, MSSQL, MongoDB, Rest API, Docker, K8s, and more 🚀 No code / Low code platform..",81,,,,
TypeScript,shadcn-admin,Autre,Admin Dashboard UI built with Shadcn and Vite.,34,,,,
TypeScript,spacedrive,Autre,"Spacedrive is an open source cross-platform file explorer, powered by a virtual distributed filesystem written in Rust.",56,,,,
TypeScript,x-render,Autre,🚴‍♀️ 阿里 - 很易用的中后台「表单 / 表格 / 图表」解决方案,25,,,,
TypeScript,scriptcat,Web,"ScriptCat, a browser extension that can execute userscript; 脚本猫，一个可以执行用户脚本的浏览器扩展",41,,,,
TypeScript,aws-toolkit-vscode,Autre,"Amazon Q, CodeCatalyst, Local Lambda debug, SAM/CFN syntax, ECS Terminal, AWS resources",4,,,,
TypeScript,jsoncrack.com,Data,"✨ Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into interactive graphs.",212,,,,
TypeScript,echarts,Web,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",13,,,,
TypeScript,midday,Autre,"Invoicing, Time tracking, File reconciliation, Storage, Financial Overview & your own Assistant made for Freelancers",19,,,,
TypeScript,material-ui,Autre,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,18,,,,
TypeScript,jest,Web,Delightful JavaScript Testing.,5,,,,
TypeScript,kagent,ML,Cloud Native Agentic AI | Discord: https://bit.ly/kagentdiscord,7,,,,
TypeScript,browserless,Web,Deploy headless browsers in Docker. Run on our cloud or bring your own. Free for non-commercial uses.,42,,,,
TypeScript,director,API,Connect any LLM to any MCP server in seconds. Local-first. 100% free and open source.,21,,,,
TypeScript,umami,Data,"Umami is a modern, privacy-focused alternative to Google Analytics.",43,,,,
Java,kafka,Autre,Mirror of Apache Kafka,11,,,,
Java,commons-lang,Autre,Apache Commons Lang,0,,,,
Java,DSA-Bootcamp-Java,Data,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs.",21,,,,
Java,lawnchair,Autre,No clever tagline needed.,15,,,,
Java,doris,Data,"Apache Doris is an easy-to-use, high performance and unified analytics database.",6,,,,
Java,Java,Autre,All Algorithms implemented in Java,24,,,,
Java,wvp-GB28181-pro,Web,WEB VIDEO PLATFORM是一个基于GB28181-2016标准实现的网络视频平台，支持NAT穿透，支持海康、大华、宇视等品牌的IPC、NVR、DVR接入。支持国标级联，支持rtsp/rtmp等视频流转发到国标平台，支持rtsp/rtmp等推流转发到国标平台。,5,,,,
Java,fineract,Autre,Apache Fineract,1,,,,
Java,hbase,Autre,Apache HBase,0,,,,
Java,intellij-community,Autre,IntelliJ IDEA Community Edition & IntelliJ Platform,8,,,,
Java,langchain4j,ML,Java version of LangChain,14,,,,
Java,trino,API,"Official repository of Trino, the distributed SQL query engine for big data, formerly known as PrestoSQL (https://trino.io)",8,,,,
Java,nifi,Autre,Apache NiFi,4,,,,
Java,netty,Web,Netty project - an event-driven asynchronous network application framework,8,,,,
Java,pulsar,Autre,Apache Pulsar - distributed pub-sub messaging system,6,,,,
Java,xxl-job,Web,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,11,,,,
Java,skywalking,Autre,"APM, Application Performance Monitoring System",5,,,,
Java,dd-trace-java,API,Datadog APM client for Java,0,,,,
Java,nacos,ML,"an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications.",6,,,,
Java,cassandra,Autre,Apache Cassandra®,1,,,,
Java,zookeeper,Autre,Apache ZooKeeper,0,,,,
Java,dbeaver,API,Free universal database tool and SQL client,22,,,,
Java,flink,Autre,Apache Flink,6,,,,
Jupyter,segment-anything,ML,"The repository provides code for running inference with the SegmentAnything Model (SAM), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.",23,,,,
Jupyter,llm-app,API,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.",160,,,,
Jupyter,Qwen2.5-VL,NLP,"Qwen2.5-VL is the multimodal large language model series developed by Qwen team, Alibaba Cloud.",28,,,,
Jupyter,sam2,ML,"The repository provides code for running inference with the Meta Segment Anything Model 2 (SAM 2), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.",34,,,,
Jupyter,AI-For-Beginners,ML,"12 Weeks, 24 Lessons, AI for All!",43,,,,
Jupyter,generative-ai-for-beginners,ML,"21 Lessons, Get Started Building with Generative AI 🔗 https://microsoft.github.io/generative-ai-for-beginners/",57,,,,
Jupyter,mlops-zoomcamp,Data,Free MLOps course from DataTalks.Club,13,,,,
Jupyter,rag-from-scratch,Autre,Pas de description,4,,,,
Jupyter,GenAI_Agents,ML,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems.",57,,,,
Jupyter,langchain-academy,Autre,Pas de description,8,,,,
Jupyter,RAG_Techniques,NLP,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. RAG systems combine information retrieval with generative models to provide accurate and contextually rich responses.,37,,,,
Jupyter,learn-agentic-ai,ML,"Learn Agentic AI using Dapr Agentic Cloud Ascent (DACA) Design Pattern and Agent-Native Cloud Technologies: OpenAI Agents SDK, Memory, MCP, A2A, Knowledge Graphs, Dapr, Rancher Desktop, and Kubernetes.",9,,,,
Jupyter,gateway-api-inference-extension,API,Gateway API Inference Extension,3,,,,
Jupyter,ml-course-hse,Autre,Машинное обучение на ФКН ВШЭ,5,,,,
Jupyter,deepmind-research,ML,This repository contains implementations and illustrative code to accompany DeepMind publications,1,,,,
Jupyter,ai-engineering-hub,NLP,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",85,,,,
Jupyter,Python-100-Days,Autre,Python - 100天从新手到大师,69,,,,
Jupyter,langchain,NLP,🦜🔗 Build context-aware reasoning applications,94,,,,
Jupyter,fabric-toolbox,Autre,"Fabric toolbox is a repository of tools, accelerators, scripts, and samples to accelerate your success with Microsoft Fabric, brought to you by Fabric CAT.",3,,,,
Jupyter,Isaac-GR00T,ML,NVIDIA Isaac GR00T N1.5 is the world's first open foundation model for generalized humanoid robot reasoning and skills.,7,,,,
Jupyter,Data-Science-Projects,Data,Collection of data science projects in Python,4,,,,
