Langage,Nom,Type,Description,Étoiles,Connu,Maîtrise,Priorité_apprentissage,Objectif_personnel
Java,JeecgBoot,ML,🔥企业级低代码平台集成了AI应用平台，帮助企业快速实现低代码开发和构建AI应用！前后端分离架构 SpringBoot，SpringCloud、Mybatis，Ant Design4、 Vue3.0、TS+vite！强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领AI低代码开发模式: AI生成->OnlineCoding-> 代码生成-> 手工MERGE，显著的提高效率，又不失灵活~,20,,,,
Java,spring-boot,Autre,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",15,,,,
Java,fineract,Autre,Apache Fineract,2,,,,
Java,Java,Autre,All Algorithms implemented in Java,19,,,,
Java,maven,Autre,Apache Maven core,3,,,,
Java,dubbo,Web,The java implementation of Apache Dubbo. An RPC and microservice framework.,2,,,,
Java,hello-algo,Autre,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",38,,,,
Java,SmartTube,Autre,Browse media content with your own rules on Android TV,24,,,,
Java,spring-ai-examples,Autre,Pas de description,2,,,,
Java,xiaozhi-esp32-server-java,Autre,小智ESP32的Java企业级管理平台，提供设备监控、音色定制、角色切换和对话记录管理的前后端及服务端一体化解决方案,6,,,,
Java,incubator-seata,Autre,"🔥 Seata is an easy-to-use, high-performance, open source distributed transaction solution.",3,,,,
Java,COLA,Autre,🥤 COLA: Clean Object-oriented & Layered Architecture,1,,,,
Java,kafka-ui,Web,Open-Source Web UI for Apache Kafka Management,4,,,,
Java,openapi-generator,API,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",13,,,,
Java,Ehviewer_CN_SXJ,Autre,ehviewer，用爱发电，快乐前行,50,,,,
Java,Shizuku-API,API,The API and the developer guide for Shizuku and Sui.,5,,,,
Java,opengrok,Autre,"OpenGrok is a fast and usable source code search and cross reference engine, written in Java",1,,,,
Java,nacos,ML,"an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications.",2,,,,
Java,Etar-Calendar,Autre,Android open source calendar,6,,,,
Java,thingsboard,Data,"Open-source IoT Platform - Device management, data collection, processing and visualization.",11,,,,
Java,DataX,Data,DataX是阿里云DataWorks数据集成的开源版本。,1,,,,
Jupyter,pytorch-deep-learning,ML,Materials for the Learn PyTorch for Deep Learning: Zero to Mastery course.,43,,,,
Jupyter,segment-anything,ML,"The repository provides code for running inference with the SegmentAnything Model (SAM), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.",28,,,,
Jupyter,rag-from-scratch,Autre,Pas de description,56,,,,
Jupyter,Hands-On-Large-Language-Models,NLP,"Official code repo for the O'Reilly Book - ""Hands-On Large Language Models""",83,,,,
Jupyter,langchain,NLP,🦜🔗 Build context-aware reasoning applications,77,,,,
Jupyter,RAG_Techniques,NLP,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. RAG systems combine information retrieval with generative models to provide accurate and contextually rich responses.,59,,,,
Jupyter,Qwen2.5-VL,NLP,"Qwen2.5-VL is the multimodal large language model series developed by Qwen team, Alibaba Cloud.",27,,,,
Jupyter,data-engineer-handbook,Data,This is a repo with links to everything you'd ever want to learn about data engineering,75,,,,
Jupyter,digital-forensics-lab,Autre,Free hands-on digital forensics labs for students and faculty,12,,,,
Jupyter,GenAI_Agents,ML,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems.",75,,,,
Jupyter,Python-100-Days,Autre,Python - 100天从新手到大师,66,,,,
Jupyter,generative-ai,ML,"Sample code and notebooks for Generative AI on Google Cloud, with Gemini on Vertex AI",12,,,,
Jupyter,mujoco_playground,ML,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,3,,,,
Jupyter,Inpaint-Anything,ML,Inpaint anything using Segment Anything and inpainting models.,4,,,,
Jupyter,GenerativeAIExamples,ML,Generative AI reference workflows optimized for accelerated infrastructure and microservice architecture.,5,,,,
Jupyter,vertex-ai-samples,ML,"Notebooks, code samples, sample apps, and other resources that demonstrate how to use, develop and manage machine learning and generative AI workflows using Google Cloud Vertex AI.",2,,,,
Jupyter,PythonDataScienceHandbook,NLP,Python Data Science Handbook: full text in Jupyter Notebooks,10,,,,
Jupyter,Data-Science-For-Beginners,Data,"10 Weeks, 20 Lessons, Data Science for All!",6,,,,
Jupyter,LLMs-from-scratch,NLP,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",79,,,,
Jupyter,learnopencv,Autre,Learn OpenCV : C++ and Python Examples,7,,,,
